zin,patroon_dat_matchte,type,aantal_keer_voorgekomen
"Ik heb helaas geen specifieke informatie over de huurperiode van de kluisjes, dus ik kan je niet met zekerheid zeggen of dit voor één dag of voor het hele weekend is.",nl_geen_informatie,fallback,1
Non ho informazioni specifiche sull'orario esatto di uscita dal campeggio o dalle sistemazioni per il lunedì.,it_no_specific_information,fallback,1
"I don't have information about specific taxi companies or which one might be ""best,"" as that can really depend on your personal preferences and what you're looking for!",en_i_do_not_have,fallback,1
It looks like I don't have specific information about local taxi firms in Hilvarenbeek in my knowledge base.,en_i_do_not_have,fallback,1
It looks like I don't have specific information about local taxi firms in Hilvarenbeek in my knowledge base.,en_no_specific_information,fallback,1
"Because of that, I don't have specific information about keeping the lock for it.",en_i_do_not_have,fallback,1
"Because of that, I don't have specific information about keeping the lock for it.",en_no_specific_information,fallback,1
Ik heb helaas geen specifieke informatie over de geluidsregulatie na afloop van het festival of de exacte eindtijden van de muziek die dit zou kunnen verklaren.,nl_geen_informatie,fallback,1
Helaas heb ik geen informatie over hoe laat de camping leeg moet zijn op maandagochtend.,nl_geen_informatie,fallback,1
"Ik heb hier geen specifieke informatie over, maar het kan zijn dat er rekening wordt gehouden met geluidsnormen of de specifieke akoestiek van de MainStage.",nl_geen_informatie,fallback,1
Ik ga meteen voor je kijken of er tickets beschikbaar zijn om mee te varen.,nl_ik_ga_kijken,belofte,1
Helaas heb ik geen specifieke informatie over de exacte locatie van een ontbijtbuffet op het festivalterrein of de campings.,nl_geen_informatie,fallback,1
Helaas heb ik geen specifieke informatie over de exacte locatie van een ontbijtbuffet op de Lakeside of Comfort camping.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte opstapplek van de pendelbus vanaf de camping terug naar Tilburg station.,nl_geen_informatie,fallback,1
I don't have specific details about coffee stands right next to the Mainstage itself.,en_i_do_not_have,fallback,1
I don't have specific details about coffee stands right next to the Mainstage itself.,en_no_specific_information,fallback,1
