conversation_id,intentie,zekerheid,eerst_gedetecteerd_op
372cdc19-2978-4d78-b7c3-1f331b8c5280,Informatie opvragen,0.7339,2026-08-23T04:28:50+00:00
38965b07-0a60-47de-b1ea-c145890bd215,Systeem bedienen,0.6759,2026-08-23T01:03:00+00:00
3bef65ef-522a-4344-b0cc-16d712db82f8,Probleem of Incident oplossen,0.7268,2026-08-24T01:40:00+00:00
3c5c8f89-1bd9-433f-896e-9edf04f4668d,Probleem of Incident oplossen,0.8195,2026-08-23T07:07:00+00:00
439ac08a-cc81-463d-b90e-7098bd210ee7,Probleem of Incident oplossen,0.907,2026-08-25T03:17:00+00:00
439ac08a-cc81-463d-b90e-7098bd210ee7,Informatie opvragen,0.6217,2026-08-25T03:18:00+00:00
43c84ae1-696b-4af4-adcd-dace56fedde6,Probleem of Incident oplossen,0.907,2026-08-24T01:35:00+00:00
4600ff8e-ba5f-4fb3-8eba-f4bdc669bbba,Probleem of Incident oplossen,0.7268,2026-08-24T20:47:00+00:00
49f7d24a-c5ef-4559-bab4-8274c9cccf3b,Informatie opvragen,0.6217,2026-08-22T18:27:00+00:00
55b8a907-e011-436d-a627-fbd828b21158,Informatie opvragen,0.6217,2026-08-23T05:02:50+00:00
5696d2b7-acee-4614-b6ef-70b42b75651d,Probleem of Incident oplossen,0.7967,2026-08-24T21:54:00+00:00
5696d2b7-acee-4614-b6ef-70b42b75651d,Informatie opvragen,0.6217,2026-08-24T21:55:00+00:00
5aeb6e3d-03b0-406b-9b90-1f554154f8c4,Noodgeval melden,0.9852,2026-08-23T19:19:00+00:00
5f9fb187-fe03-4aa5-ad9f-7d0aba25d12c,Actievere Navigatiehulp,0.9061,2026-08-23T01:50:00+00:00
67e1a3e2-2254-4911-98a1-28ae0e5b6045,Informatie opvragen,0.852,2026-08-23T14:25:00+00:00
6b04873c-9b89-4d69-8e3b-d0fa6ee92030,Probleem of Incident oplossen,0.907,2026-08-22T18:03:30+00:00
6b18d527-c76c-47c1-b369-306744be2d43,Noodgeval melden,0.9852,2026-08-25T00:51:00+00:00
6d33ea83-feae-4635-a2fa-944d62170b00,Systeem bedienen,0.6759,2026-08-22T21:57:00+00:00
6ff20d0a-7b7c-4028-8476-7e1516dda6c7,Transactie / Mutatie uitvoeren,0.9089,2026-08-23T00:37:00+00:00
7dda8f47-1bd9-4fc1-b52f-0743513d3dc0,Informatie opvragen,0.7543,2026-08-22T13:08:00+00:00
7e2edd10-ae51-4174-a517-12b7aec9bfd5,Probleem of Incident oplossen,0.8195,2026-08-25T02:20:00+00:00
80552cf9-8bac-4854-b7e3-0f65ec3cb1c6,Probleem of Incident oplossen,0.8195,2026-08-24T16:07:00+00:00
80552cf9-8bac-4854-b7e3-0f65ec3cb1c6,Informatie opvragen,0.6217,2026-08-24T16:07:50+00:00
82cab195-56f8-4c3b-aeda-2e7ecf995444,Probleem of Incident oplossen,0.9322,2026-08-22T12:07:00+00:00
8308e78e-ec7a-4ad7-9db9-69e3245ae741,Transactie / Mutatie uitvoeren,0.9231,2026-08-23T21:27:00+00:00
84d531fe-5465-47cc-b5e7-a5de7c6e3bba,Informatie opvragen,0.6147,2026-08-23T18:09:00+00:00
8c5fdb1e-e71e-4c43-b89f-9594dc203b26,Probleem of Incident oplossen,0.9322,2026-08-25T00:48:00+00:00
8ceeab07-5772-4472-b5f4-b7de4adf9ea5,Informatie opvragen,0.7581,2026-08-22T12:54:00+00:00
8f5b11a3-7c9a-4605-b764-495c73c7d161,Informatie opvragen,0.8587,2026-08-25T03:09:00+00:00
9466eb27-05bf-4e55-9bf4-9760b89606e3,Informatie opvragen,0.7581,2026-08-23T17:16:00+00:00
963c6305-fe38-4a92-be67-f5dc904b2862,Probleem of Incident oplossen,0.9322,2026-08-24T13:16:00+00:00
9a9a0fd7-6a16-410a-8f60-3892847e3a98,Informatie opvragen,0.7339,2026-08-22T18:34:50+00:00
ae8cfcfb-a099-486f-a763-6278cdd99544,Probleem of Incident oplossen,0.907,2026-08-22T12:59:00+00:00
b0e42a30-7d5d-4f97-9d98-1bc32fc64e0a,Informatie opvragen,0.852,2026-08-24T18:56:00+00:00
b274631d-8126-4ecd-b162-7b7670ffd0ff,Probleem of Incident oplossen,0.7268,2026-08-24T07:39:00+00:00
b5c636f5-f2a5-4d9c-ae87-4b07471a5f45,Probleem of Incident oplossen,0.7967,2026-08-24T06:45:00+00:00
b790d4f6-c1da-4234-b105-99da9a4010ec,Probleem of Incident oplossen,0.7967,2026-08-23T16:33:00+00:00
b7c4b3c5-a4dc-414e-bc3b-94454c8e9c1c,Systeem bedienen,0.6759,2026-08-24T20:42:30+00:00
bbe8ebcf-a2cd-49a0-8685-76681b1c1027,Probleem of Incident oplossen,0.7967,2026-08-23T16:21:00+00:00
bbe8ebcf-a2cd-49a0-8685-76681b1c1027,Informatie opvragen,0.6217,2026-08-23T16:22:00+00:00
c31533ba-c00e-4c75-8247-bf20b6138d75,Systeem bedienen,0.6759,2026-08-24T06:51:00+00:00
c319de58-c1a1-4090-af43-a4c253273a27,Probleem of Incident oplossen,0.9322,2026-08-24T09:40:00+00:00
c607b218-ed81-4d4d-bba3-1e130a23712d,Noodgeval melden,0.8343,2026-08-24T19:48:00+00:00
c8efc521-999b-4ce4-821c-7669f3dc9530,Probleem of Incident oplossen,0.7967,2026-08-24T13:00:00+00:00
cb6f62ce-896d-4eb5-aa09-0fec290ec200,Transactie / Mutatie uitvoeren,0.7938,2026-08-24T23:21:30+00:00
ce99e7be-dcd5-447e-9b99-9efced6a8e70,Transactie / Mutatie uitvoeren,0.9231,2026-08-23T17:26:00+00:00
d038ed93-9fa9-4109-8187-42073cc91b22,Informatie opvragen,0.7339,2026-08-24T09:53:50+00:00
d3c629b5-d431-43c4-bc78-d87f2d77297d,Informatie opvragen,0.6147,2026-08-24T01:37:00+00:00
d5764100-15ba-47ad-9ac9-392caf3a13e4,Noodgeval melden,0.8923,2026-08-23T22:41:00+00:00
df997f25-7033-45d9-af39-1b04b8725b5e,Noodgeval melden,0.8343,2026-08-22T14:26:00+00:00
e2ca6f8d-e496-46c1-9478-2a47ae0477fa,Noodgeval melden,0.8343,2026-08-23T07:08:00+00:00
e637ef45-389c-4117-bd04-630c369909d2,Probleem of Incident oplossen,0.7268,2026-08-24T19:41:00+00:00
e6a4a8c2-bd80-49ff-a697-8b1feaa44643,Actievere Navigatiehulp,0.9061,2026-08-22T19:46:00+00:00
e706ffa7-800b-4d88-bd4e-efd75c7cb4f9,Noodgeval melden,0.9852,2026-08-23T12:00:00+00:00
e8afbfdc-6abd-4ba4-b055-3f0a9ef2e77f,Informatie opvragen,0.7581,2026-08-23T06:28:00+00:00
e92698c6-09c3-4139-a3de-ceded2b48155,Noodgeval melden,0.8923,2026-08-23T10:56:00+00:00
eb81d078-4c0b-46ec-945e-4bd4fa1b3c10,Noodgeval melden,0.8923,2026-08-24T19:47:00+00:00
f02f05b7-7043-4ba3-b135-6743bad4f67d,Informatie opvragen,0.7306,2026-08-24T21:01:00+00:00
f4b33fb7-079a-4df6-a704-e9e2bcfec19e,Actievere Navigatiehulp,0.9061,2026-08-24T06:40:00+00:00
f4f21a7b-b56b-4f57-a678-7e9737690628,Actievere Navigatiehulp,0.9061,2026-08-25T02:50:00+00:00
f606fce4-b1d4-4f01-9bed-8d1e03766aa4,Probleem of Incident oplossen,0.907,2026-08-22T12:27:00+00:00
