text,intent
Ik wil mijn parkeerplek annuleren.,Perform Transaction / Change
Kan ik mijn tentplek upgraden naar een camperplek?,Perform Transaction / Change
Ik wil me uitschrijven voor de nieuwsbrief.,Perform Transaction / Change
Ik wil saldo bijladen op mijn cashcard.,Perform Transaction / Change
Kan ik mijn ticket op naam van iemand anders zetten?,Perform Transaction / Change
ik wil graag mijn bestelling annuleren,Perform Transaction / Change
kan ik nog een dagticket omzetten in een weekendticket,Perform Transaction / Change
ik wil mijn adresgegevens wijzigen,Perform Transaction / Change
graag wil ik nog 2 parkeerkaarten toevoegen aan mijn bestelling,Perform Transaction / Change
kan ik mijn ticket terugverkopen via jullie platform,Perform Transaction / Change
i would like to cancel my camping reservation,Perform Transaction / Change
ik wil mijn e-mailadres aanpassen in mijn account,Perform Transaction / Change
graag mijn ticket omruilen voor een ander weekend,Perform Transaction / Change
Hoe kom ik van de camping naar het hoofdpodium?,Active Navigation Help
Waar vind ik het dichtstbijzijnde toilet vanaf hier?,Active Navigation Help
Kun je me de route naar de parkeerplaats laten zien?,Active Navigation Help
Waar is het EHBO-punt op het terrein?,Active Navigation Help
Hoe loop ik het snelst naar uitgang 3?,Active Navigation Help
Waar sta ik nu precies op de plattegrond?,Active Navigation Help
hoe kom ik bij vak C vanaf de hoofdingang,Active Navigation Help
welke kant moet ik op voor de foodtrucks,Active Navigation Help
"ik sta bij podium 2, waar is de dichtstbijzijnde bar",Active Navigation Help
kun je me de kortste weg naar mijn tent wijzen,Active Navigation Help
where is the nearest exit from here,Active Navigation Help
hoe ver is het van de camping naar de ingang lopen,Active Navigation Help
Kun je me doorverbinden met een medewerker?,Operate System
Stop met berichten sturen.,Operate System
Kan ik dit gesprek opnieuw beginnen?,Operate System
Ik wil geen automatische updates meer ontvangen.,Operate System
Zet me weer op de mailinglijst.,Operate System
Praat ik nu met een echt persoon of een bot?,Operate System
kan ik een mens spreken alsjeblieft,Operate System
stuur me niet meer zoveel berichten,Operate System
reset dit gesprek,Operate System
ik wil me weer aanmelden voor notificaties,Operate System
schakel de automatische antwoorden uit,Operate System
"Er ligt iemand bewusteloos bij podium 2, help!",Report Emergency
Ik zie brand bij de foodtrucks.,Report Emergency
Er is een vechtpartij aan de gang bij de ingang.,Report Emergency
"Mijn kind is zoek, ik kan haar nergens vinden.",Report Emergency
Iemand heeft net een epileptische aanval gehad.,Report Emergency
Er is iemand in elkaar gezakt bij de bar.,Report Emergency
help iemand is flauwgevallen bij vak 4,Report Emergency
"er breekt paniek uit bij de ingang, te veel mensen",Report Emergency
"iemand bloedt hevig, we hebben nu hulp nodig",Report Emergency
"help snel, iemand verdrinkt bijna in de vijver",Report Emergency
there's a medical emergency near the main stage,Report Emergency
er ligt iemand op de grond en reageert niet,Report Emergency
The security guard was incredibly rude to me for no reason.,File Complaint
"One of your staff members yelled at my kid, that's unacceptable.",File Complaint
De steward bij ingang B duwde me zomaar opzij zonder uitleg.,File Complaint
I was treated very disrespectfully by one of your crew members.,File Complaint
Een medewerker weigerde me te helpen en liep gewoon weg.,File Complaint
Your bartender overcharged me and refused to fix it.,File Complaint
De beveiliger schreeuwde tegen me terwijl ik niks verkeerd deed.,File Complaint
One of your employees was extremely unhelpful and dismissive.,File Complaint
Can you transfer me to an actual person please.,Operate System
I don't want any more automated messages.,Operate System
Is this a bot or a real human replying?,Operate System
Please stop sending me automatic replies.,Operate System
Restart this conversation from the beginning.,Operate System
"Kun je me doorschakelen naar een medewerker, geen bot meer graag.",Operate System
Ik wil niet langer geautomatiseerde berichten ontvangen.,Operate System
Turn off the automatic responses for this chat.,Operate System
Can you show me the way from here to the main stage?,Active Navigation Help
Which direction is the exit from where I'm standing?,Active Navigation Help
Guide me to the nearest ATM please.,Active Navigation Help
"Ik sta bij ingang C, hoe loop ik naar de camping?",Active Navigation Help
What's the quickest route to the food court from stage 2?,Active Navigation Help
"Point me toward the lockers, I'm lost.",Active Navigation Help
Welke weg moet ik nemen om bij de hoofdingang te komen?,Active Navigation Help
Can you walk me through how to get to the parking area from here?,Active Navigation Help
What time does the show start tonight?,Request Information
Is there a cash machine somewhere on site?,Request Information
Do you accept credit cards at the bars?,Request Information
Are pets allowed on the campsite?,Request Information
Zijn er ook gratis watervulpunten op het terrein?,Request Information
Is there a lost and found service at this festival?,Request Information
"Dankjewel, dat helpt!",None
"Oke duidelijk, dank je",None
"Top, bedankt!",None
"Helder, dankjewel.",None
"Prima, thanks!",None
"Oke, ik snap het.",None
"Super, fijne dag!",None
"Bedankt voor je hulp, doei!",None
Thanks a lot!,None
"Perfect, dank je wel.",None
Ok tot ziens.,None
"Alright, thank you.",None
"Cool, bedankt.",None
"Nice, thanks for that.",None
Doei!,None
Ok,None
Prima,None
"Alright then, bye.",None
"Dank je, tot de volgende keer.",None
Helemaal goed zo.,None
"We wachten hier al drie kwartier en er gebeurt gewoon niks, belachelijk.",File Complaint
"De rij bij de ingang staat al een uur stil, dit is toch geen organisatie.",File Complaint
"De toiletten zijn de hele dag niet schoongemaakt, dit is echt onacceptabel.",File Complaint
"Het is hier smerig en er wordt niks aan gedaan, ik vind dit echt schandalig.",File Complaint
"Het geluid staat zo hard dat het pijn doet aan mijn oren, dit kan echt niet.",File Complaint
"Er is veel te weinig personeel, niemand die je kan helpen. Slechte organisatie.",File Complaint
"Voor deze prijs verwacht ik echt wel wat meer, dit is het geld niet waard.",File Complaint
"Het is hier veel te druk en gevaarlijk, dit had niemand zo mogen inrichten.",File Complaint
"Ik heb een uur in de rij gestaan voor een biertje, dit is toch belachelijk.",File Complaint
"De camping is een puinhoop en er wordt niks opgeruimd, ik wil dit melden.",File Complaint
Ik wil officieel een klacht indienen over hoe dit geregeld is.,File Complaint
Waar kan ik een klacht indienen over de gang van zaken hier?,File Complaint
"We have been queuing for over an hour and nothing is moving, this is unacceptable.",File Complaint
"The toilets have not been cleaned all weekend, that is absolutely disgraceful.",File Complaint
"The sound is painfully loud, this really should not be allowed.",File Complaint
"For this price I expected far better, honestly a waste of money.",File Complaint
I would like to make a formal complaint about how this was handled.,File Complaint
"Die Toiletten sind seit Stunden nicht gereinigt worden, das ist inakzeptabel.",File Complaint
"Wir warten seit einer Stunde und niemand kümmert sich, eine Frechheit.",File Complaint
Ich möchte mich offiziell über die Organisation beschweren.,File Complaint
Geluidsoverlast camping,File Complaint
Geluidsoverlast melden,File Complaint
Ik wil geluidsoverlast melden,File Complaint
Melding maken overlast,File Complaint
Overlast melden camping,File Complaint
Klacht melden,File Complaint
"Klacht op de camping, waar melden?",File Complaint
Waar meld ik geluidsoverlast?,File Complaint
Waar kan ik overlast van buren melden?,File Complaint
De buren op de camping maken de hele nacht herrie,File Complaint
Er wordt hier nog steeds harde muziek gedraaid,File Complaint
De muziek staat veel te hard op camping 4,File Complaint
"Onze buren zijn veel te luidruchtig, kan daar iets aan gedaan worden?",File Complaint
Ik wil een melding doen over de staat van de toiletten,File Complaint
Report noise disturbance,File Complaint
Noise complaint campsite,File Complaint
I want to report a noise problem at the campsite,File Complaint
"Our neighbours are far too loud, can something be done?",File Complaint
Lärmbelästigung melden,File Complaint
Ich möchte eine Beschwerde melden,File Complaint
