conversation_id,main_topic,subtopic,confidence,first_detected_at
4600ff8e-ba5f-4fb3-8eba-f4bdc669bbba,Payments,Deposit,0.1598,2026-08-24T20:47:00+00:00
4776b9bb-effb-4797-a37c-c48c604a19c4,Tickets,Rename,0.1579,2026-08-23T21:42:00+00:00
49f7d24a-c5ef-4559-bab4-8274c9cccf3b,Camping,Other,0.2444,2026-08-22T18:26:00+00:00
49f7d24a-c5ef-4559-bab4-8274c9cccf3b,Feedback,Other,0.343,2026-08-22T18:27:00+00:00
55b8a907-e011-436d-a627-fbd828b21158,Payments,Deposit,0.1442,2026-08-23T05:02:00+00:00
55b8a907-e011-436d-a627-fbd828b21158,Feedback,Other,0.343,2026-08-23T05:02:50+00:00
5696d2b7-acee-4614-b6ef-70b42b75651d,Payments,Deposit,0.1759,2026-08-24T21:54:00+00:00
5696d2b7-acee-4614-b6ef-70b42b75651d,Feedback,Other,0.343,2026-08-24T21:55:00+00:00
5aeb6e3d-03b0-406b-9b90-1f554154f8c4,Camping,Other,0.0568,2026-08-23T19:19:00+00:00
5d13cb6e-eedc-41ff-89b7-d2c7f076f504,Feedback,Other,0.1197,2026-08-22T16:15:00+00:00
5f9fb187-fe03-4aa5-ad9f-7d0aba25d12c,Feedback,Other,0.1232,2026-08-23T01:50:00+00:00
62f23c9c-7e3e-4589-83b1-b57efd11779e,Camping,Other,0.1278,2026-08-22T20:14:00+00:00
62f23c9c-7e3e-4589-83b1-b57efd11779e,Feedback,Other,0.333,2026-08-22T20:14:50+00:00
67e1a3e2-2254-4911-98a1-28ae0e5b6045,Camping,Access,0.1714,2026-08-23T14:25:00+00:00
67e1a3e2-2254-4911-98a1-28ae0e5b6045,Feedback,Other,0.2762,2026-08-23T14:25:50+00:00
6b04873c-9b89-4d69-8e3b-d0fa6ee92030,Payments,Deposit,0.091,2026-08-22T18:02:00+00:00
6b18d527-c76c-47c1-b369-306744be2d43,Camping,Other,0.0568,2026-08-25T00:51:00+00:00
6d33ea83-feae-4635-a2fa-944d62170b00,Payments,Deposit,0.1885,2026-08-22T21:57:00+00:00
6ff20d0a-7b7c-4028-8476-7e1516dda6c7,Tickets,Rename,0.1474,2026-08-23T00:37:00+00:00
7420edbf-8610-410f-b370-b7294aaa1247,Camping,Other,0.2444,2026-08-22T15:19:00+00:00
7420edbf-8610-410f-b370-b7294aaa1247,Feedback,Other,0.333,2026-08-22T15:19:50+00:00
7dda8f47-1bd9-4fc1-b52f-0743513d3dc0,Camping,Other,0.1966,2026-08-22T13:08:00+00:00
7dda8f47-1bd9-4fc1-b52f-0743513d3dc0,Feedback,Other,0.343,2026-08-22T13:08:50+00:00
7df6e233-5e13-4807-9410-93505ca65c28,Transport,Other,0.1414,2026-08-23T12:23:00+00:00
7e2edd10-ae51-4174-a517-12b7aec9bfd5,Payments,Deposit,0.1325,2026-08-25T02:20:00+00:00
7ebdec56-87d1-4e71-96e3-09364722ab5a,Camping,Other,0.2444,2026-08-24T22:24:00+00:00
7ebdec56-87d1-4e71-96e3-09364722ab5a,Feedback,Other,0.5065,2026-08-24T22:25:00+00:00
80552cf9-8bac-4854-b7e3-0f65ec3cb1c6,Payments,Deposit,0.1325,2026-08-24T16:07:00+00:00
80552cf9-8bac-4854-b7e3-0f65ec3cb1c6,Feedback,Other,0.343,2026-08-24T16:07:50+00:00
82cab195-56f8-4c3b-aeda-2e7ecf995444,Payments,Deposit,0.3235,2026-08-22T12:07:00+00:00
82cab195-56f8-4c3b-aeda-2e7ecf995444,Feedback,Other,0.215,2026-08-22T12:08:00+00:00
8308e78e-ec7a-4ad7-9db9-69e3245ae741,Tickets,Rename,0.1751,2026-08-23T21:27:00+00:00
84d531fe-5465-47cc-b5e7-a5de7c6e3bba,Tickets,Other,0.1713,2026-08-23T18:09:00+00:00
84d531fe-5465-47cc-b5e7-a5de7c6e3bba,Feedback,Other,0.2762,2026-08-23T18:09:50+00:00
8c5fdb1e-e71e-4c43-b89f-9594dc203b26,Payments,Deposit,0.3235,2026-08-25T00:48:00+00:00
8c6cb71e-072c-4816-8cc5-b50678680687,Camping,Other,0.2444,2026-08-22T12:41:00+00:00
8c6cb71e-072c-4816-8cc5-b50678680687,Feedback,Other,0.215,2026-08-22T12:42:00+00:00
8ceeab07-5772-4472-b5f4-b7de4adf9ea5,Feedback,Other,0.1205,2026-08-22T12:54:00+00:00
8f5b11a3-7c9a-4605-b764-495c73c7d161,Feedback,Other,0.2597,2026-08-25T03:09:00+00:00
9466eb27-05bf-4e55-9bf4-9760b89606e3,Feedback,Other,0.1205,2026-08-23T17:16:00+00:00
963c6305-fe38-4a92-be67-f5dc904b2862,Payments,Deposit,0.3235,2026-08-24T13:16:00+00:00
97a132f2-028e-49b2-8f2c-56f8ecd2d382,Payments,Deposit,0.1442,2026-08-22T22:04:00+00:00
9a9a0fd7-6a16-410a-8f60-3892847e3a98,Tickets,Rename,0.1579,2026-08-22T18:34:00+00:00
9a9a0fd7-6a16-410a-8f60-3892847e3a98,Feedback,Other,0.2762,2026-08-22T18:34:50+00:00
ae8cfcfb-a099-486f-a763-6278cdd99544,Payments,Deposit,0.1848,2026-08-22T12:59:00+00:00
ae8cfcfb-a099-486f-a763-6278cdd99544,Feedback,Other,0.333,2026-08-22T13:00:00+00:00
b0e42a30-7d5d-4f97-9d98-1bc32fc64e0a,Camping,Access,0.1714,2026-08-24T18:56:00+00:00
b274631d-8126-4ecd-b162-7b7670ffd0ff,Payments,Deposit,0.1598,2026-08-24T07:39:00+00:00
b274631d-8126-4ecd-b162-7b7670ffd0ff,Feedback,Other,0.215,2026-08-24T07:40:00+00:00
b5c636f5-f2a5-4d9c-ae87-4b07471a5f45,Payments,Deposit,0.1759,2026-08-24T06:45:00+00:00
b790d4f6-c1da-4234-b105-99da9a4010ec,Payments,Deposit,0.1759,2026-08-23T16:33:00+00:00
b790d4f6-c1da-4234-b105-99da9a4010ec,Feedback,Other,0.5065,2026-08-23T16:33:50+00:00
b7c4b3c5-a4dc-414e-bc3b-94454c8e9c1c,Payments,Deposit,0.1442,2026-08-24T20:41:00+00:00
bb4b5a02-113d-446f-b188-26b5440e504e,Feedback,Other,0.1153,2026-08-24T11:16:00+00:00
bbe8ebcf-a2cd-49a0-8685-76681b1c1027,Payments,Deposit,0.1759,2026-08-23T16:21:00+00:00
bbe8ebcf-a2cd-49a0-8685-76681b1c1027,Feedback,Other,0.343,2026-08-23T16:22:00+00:00
c31533ba-c00e-4c75-8247-bf20b6138d75,Payments,Deposit,0.1885,2026-08-24T06:51:00+00:00
c31533ba-c00e-4c75-8247-bf20b6138d75,Feedback,Other,0.215,2026-08-24T06:52:00+00:00
c319de58-c1a1-4090-af43-a4c253273a27,Payments,Deposit,0.3235,2026-08-24T09:40:00+00:00
c319de58-c1a1-4090-af43-a4c253273a27,Feedback,Other,0.333,2026-08-24T09:40:50+00:00
c4fe8c7a-151c-4a9d-9c9e-aa9fe6fefe48,Camping,Other,0.2444,2026-08-24T17:56:00+00:00
c4fe8c7a-151c-4a9d-9c9e-aa9fe6fefe48,Feedback,Other,0.333,2026-08-24T17:56:50+00:00
c5be777e-fdd9-47d1-b61e-4e355d66bdbd,Transport,Other,0.1414,2026-08-24T12:33:00+00:00
c607b218-ed81-4d4d-bba3-1e130a23712d,Feedback,Other,0.1197,2026-08-24T19:48:00+00:00
c8efc521-999b-4ce4-821c-7669f3dc9530,Payments,Deposit,0.1759,2026-08-24T13:00:00+00:00
cb6f62ce-896d-4eb5-aa09-0fec290ec200,Payments,Deposit,0.091,2026-08-24T23:20:00+00:00
ce99e7be-dcd5-447e-9b99-9efced6a8e70,Tickets,Rename,0.1751,2026-08-23T17:26:00+00:00
ce99e7be-dcd5-447e-9b99-9efced6a8e70,Payments,Deposit,0.1442,2026-08-23T17:27:30+00:00
d038ed93-9fa9-4109-8187-42073cc91b22,Tickets,Rename,0.1579,2026-08-24T09:53:00+00:00
d038ed93-9fa9-4109-8187-42073cc91b22,Feedback,Other,0.2762,2026-08-24T09:53:50+00:00
d3c629b5-d431-43c4-bc78-d87f2d77297d,Tickets,Other,0.1713,2026-08-24T01:37:00+00:00
d5764100-15ba-47ad-9ac9-392caf3a13e4,Payments,Deposit,0.1789,2026-08-23T22:41:00+00:00
daf34125-4179-416c-a83c-5a5a7f5aa4a3,Payments,Deposit,0.091,2026-08-23T13:37:00+00:00
daf34125-4179-416c-a83c-5a5a7f5aa4a3,Feedback,Other,0.215,2026-08-23T13:38:00+00:00
df997f25-7033-45d9-af39-1b04b8725b5e,Feedback,Other,0.1197,2026-08-22T14:26:00+00:00
e2ca6f8d-e496-46c1-9478-2a47ae0477fa,Feedback,Other,0.1197,2026-08-23T07:08:00+00:00
e637ef45-389c-4117-bd04-630c369909d2,Payments,Deposit,0.1598,2026-08-24T19:41:00+00:00
e637ef45-389c-4117-bd04-630c369909d2,Feedback,Other,0.5065,2026-08-24T19:41:50+00:00
e6a4a8c2-bd80-49ff-a697-8b1feaa44643,Feedback,Other,0.1232,2026-08-22T19:46:00+00:00
e706ffa7-800b-4d88-bd4e-efd75c7cb4f9,Camping,Other,0.0568,2026-08-23T12:00:00+00:00
e8afbfdc-6abd-4ba4-b055-3f0a9ef2e77f,Feedback,Other,0.1205,2026-08-23T06:28:00+00:00
e92698c6-09c3-4139-a3de-ceded2b48155,Payments,Deposit,0.1789,2026-08-23T10:56:00+00:00
eb81d078-4c0b-46ec-945e-4bd4fa1b3c10,Payments,Deposit,0.1789,2026-08-24T19:47:00+00:00
f02f05b7-7043-4ba3-b135-6743bad4f67d,Transport,Other,0.1096,2026-08-24T21:01:00+00:00
f1db4694-cb5c-466d-9e74-a7d987a60366,Feedback,Other,0.1197,2026-08-23T21:01:00+00:00
f36555c7-c4c1-43f0-898c-4e6c454eeb84,Feedback,Other,0.1153,2026-08-24T04:39:00+00:00
f4b33fb7-079a-4df6-a704-e9e2bcfec19e,Feedback,Other,0.1232,2026-08-24T06:40:00+00:00
f4f21a7b-b56b-4f57-a678-7e9737690628,Feedback,Other,0.1232,2026-08-25T02:50:00+00:00
f606fce4-b1d4-4f01-9bed-8d1e03766aa4,Payments,Deposit,0.1848,2026-08-22T12:27:00+00:00
f606fce4-b1d4-4f01-9bed-8d1e03766aa4,Feedback,Other,0.215,2026-08-22T12:28:00+00:00
f7d2b1ee-2f54-4496-a9bc-af078329ce1b,Feedback,Other,0.1879,2026-08-23T16:19:00+00:00
fa88e361-a78c-4135-9b0d-a2ef87a5c386,Payments,Deposit,0.091,2026-08-23T01:20:00+00:00
feec0f6a-c34d-4f06-8131-05bccb625c0d,Tickets,Rename,0.1579,2026-08-24T08:39:00+00:00
feec0f6a-c34d-4f06-8131-05bccb625c0d,Feedback,Other,0.5065,2026-08-24T08:39:50+00:00
