conversation_id,main_topic,subtopic,similarity,first_detected_at
5a11222d-3512-4cf3-ac04-34962cd1c6c7,Payments,Deposit,0.3917,2026-08-30T07:23:15.502855+00:00
5a11222d-3512-4cf3-ac04-34962cd1c6c7,Access,Lost,0.3576,2026-08-30T07:25:22.413579+00:00
5b59c348-5104-4426-b094-a1ec3a358e77,Venue,Shops,0.6391,2026-08-30T07:04:03.267456+00:00
5e3d407d-3d9b-4e5f-8ecc-d4df932e06ca,Access,Scanning,0.2907,2026-08-30T08:14:55.000497+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Transport,Shuttle,0.4958,2026-08-30T08:11:05.260063+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Transport,Transit,0.467,2026-08-30T08:12:42.642075+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Access,Upgrade,0.4058,2026-08-30T08:27:23.443186+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Venue,Amenities,0.5562,2026-08-30T08:29:34.745405+00:00
724c3ab3-b430-4b15-a866-f1101b897d14,Transport,Transit,0.5494,2026-08-30T06:29:41.677127+00:00
724c3ab3-b430-4b15-a866-f1101b897d14,Venue,Lockers,0.2504,2026-08-30T06:30:19.780680+00:00
724c3ab3-b430-4b15-a866-f1101b897d14,Venue,Map,0.4036,2026-08-30T06:31:27.910965+00:00
7451fd46-ff76-4fec-9ec2-076d524a37d7,Venue,Shops,0.3552,2026-08-30T18:01:07.233693+00:00
7451fd46-ff76-4fec-9ec2-076d524a37d7,Venue,Map,0.4597,2026-08-30T18:29:20.744918+00:00
7451fd46-ff76-4fec-9ec2-076d524a37d7,Transport,Parking,0.4333,2026-08-30T18:30:10.946815+00:00
7466a6c5-9600-4e8d-b1da-a668f622c694,Program,General,0.4144,2026-08-30T08:22:44.663142+00:00
746b7d39-5c44-40a6-824e-d95faf4328ea,Transport,Parking,0.5028,2026-08-30T07:15:45.547917+00:00
74ab239a-92a2-46cf-98b5-898ad2c24b38,Venue,CheckIn,0.5419,2026-08-31T09:17:44.832610+00:00
77658bc7-a721-4106-8750-c293cfc9019a,Program,Schedule,0.4429,2026-08-30T04:16:14.563621+00:00
7b9ef30d-c36a-4b2e-ab4e-fd5263ec8fb2,Venue,Amenities,0.5828,2026-08-30T01:09:38.525952+00:00
7b9ef30d-c36a-4b2e-ab4e-fd5263ec8fb2,Venue,CabinAccess,0.68,2026-08-30T01:12:17.613974+00:00
8124951f-c944-4f22-a02c-d7b55b124694,Venue,Amenities,0.6627,2026-08-30T07:27:38.240722+00:00
8124951f-c944-4f22-a02c-d7b55b124694,Program,Schedule,0.5212,2026-08-30T07:28:27.837164+00:00
86a85eaa-6fdb-44d8-93db-781000e103b0,Program,General,0.4015,2026-08-30T10:34:00.702699+00:00
8acea325-0a61-4973-bead-aaa09a2d3bdb,Venue,Map,0.4584,2026-08-30T02:16:48.240090+00:00
8aceb9ed-07e4-46b2-afbf-63bc22bcc8de,Program,General,0.429,2026-08-30T07:30:41.978404+00:00
8aceb9ed-07e4-46b2-afbf-63bc22bcc8de,Program,Schedule,0.4562,2026-08-30T08:12:36.667086+00:00
8b42a238-3b6a-4db7-a5a7-f852ecd43246,Venue,CabinAccess,0.5492,2026-08-30T02:15:31.363081+00:00
8f2cfe26-684c-4824-94f6-37f82caa2f41,Venue,Amenities,0.4416,2026-08-30T01:47:26.513667+00:00
8f2cfe26-684c-4824-94f6-37f82caa2f41,Program,Schedule,0.3705,2026-08-30T01:47:33.612813+00:00
8f2cfe26-684c-4824-94f6-37f82caa2f41,Access,Scanning,0.4855,2026-08-30T01:48:48.358212+00:00
8f2cfe26-684c-4824-94f6-37f82caa2f41,Venue,CabinAccess,0.2525,2026-08-30T01:49:52.584742+00:00
8f2cfe26-684c-4824-94f6-37f82caa2f41,Venue,Noise,0.5478,2026-08-30T22:36:02.655788+00:00
919d69a2-0d1c-4686-9117-63d23501b05e,Program,General,0.3508,2026-08-30T04:43:03.143413+00:00
91d38046-fbf1-4d01-b93c-966df0b33d7a,Venue,CabinAccess,0.4965,2026-08-30T05:21:55.639121+00:00
91d38046-fbf1-4d01-b93c-966df0b33d7a,Venue,Amenities,0.5578,2026-08-30T05:22:41.109696+00:00
95b73211-8afb-4faa-b00d-ab2333f187d0,Venue,Lockers,0.5264,2026-08-30T07:16:50.829238+00:00
95b73211-8afb-4faa-b00d-ab2333f187d0,Transport,Parking,0.6456,2026-08-30T08:26:52.098467+00:00
a6acf5ec-bb64-458c-a4a8-ee7c66376122,Access,Wristband,0.4762,2026-08-31T07:50:33.851013+00:00
a92299ba-18b3-45fe-8284-0dbed04d2bc5,Program,Schedule,0.6645,2026-08-30T06:04:20.470958+00:00
a974b82a-6bf4-4ff9-b150-909dcdac8863,Access,Upgrade,0.4848,2026-08-30T09:37:39.297768+00:00
a974b82a-6bf4-4ff9-b150-909dcdac8863,Venue,Lockers,0.6562,2026-08-30T13:18:45.294875+00:00
a974b82a-6bf4-4ff9-b150-909dcdac8863,Venue,CabinAccess,0.4888,2026-08-30T13:46:56.948833+00:00
a974b82a-6bf4-4ff9-b150-909dcdac8863,Transport,Shuttle,0.6766,2026-08-30T14:07:48.280579+00:00
add7ad79-6771-475a-a628-e06875fe7ddb,Venue,Map,0.5773,2026-08-30T01:43:36.354943+00:00
add7ad79-6771-475a-a628-e06875fe7ddb,Program,Schedule,0.4706,2026-08-30T01:51:57.263256+00:00
b9e1f22c-8304-4faf-9fab-2531213a42d3,Venue,Noise,0.7525,2026-08-30T03:26:31.620730+00:00
bad92a26-5459-4257-9f50-146922258226,Venue,Amenities,0.4427,2026-08-30T03:22:58.424283+00:00
bb72cd0b-5ce6-4344-b977-5c3484776543,Venue,Shops,0.4961,2026-08-30T16:58:03.202690+00:00
c03bd6cd-fece-4a64-8485-f1e07ad8da6c,Venue,Amenities,0.6103,2026-08-30T06:31:20.926368+00:00
c03bd6cd-fece-4a64-8485-f1e07ad8da6c,Transport,Shuttle,0.8251,2026-08-31T08:28:04.582065+00:00
c21900ef-ec65-4aeb-a2f0-fea68d05cc03,Venue,Amenities,0.5372,2026-08-30T07:46:53.141283+00:00
c349ed13-2dbf-47f7-b276-2f78e5c181fb,Access,Upgrade,0.3229,2026-08-30T06:53:51.879020+00:00
cc1e82f2-5fbd-4807-9db0-ca1991a91892,Venue,CabinAccess,0.5275,2026-08-30T03:44:27.822933+00:00
cc1e82f2-5fbd-4807-9db0-ca1991a91892,Transport,Parking,0.6583,2026-08-30T03:59:00.208119+00:00
d31327b8-7e61-4a66-b5fc-e0e14c4459b2,Venue,Lockers,0.6454,2026-08-30T08:28:15.834458+00:00
d4a03a5c-6bb4-4463-bd44-a0b98e3f5917,Transport,Shuttle,0.7398,2026-08-31T05:44:58.331888+00:00
d737a68f-037f-43e6-a08b-e70cc73e439f,Access,Lost,0.4562,2026-08-30T08:31:59.695746+00:00
d737a68f-037f-43e6-a08b-e70cc73e439f,Program,General,0.444,2026-08-30T10:32:32.174369+00:00
da03690a-e0c2-4b7f-9818-f5a77e67ef75,Transport,Parking,0.5411,2026-08-30T07:32:11.068948+00:00
da03690a-e0c2-4b7f-9818-f5a77e67ef75,Venue,Charging,0.4041,2026-08-30T09:15:21.140234+00:00
da03690a-e0c2-4b7f-9818-f5a77e67ef75,Access,Wristband,0.3741,2026-08-30T21:40:43.406352+00:00
dae835f6-49f4-4624-9985-4238505f6d1f,Access,Upgrade,0.5392,2026-08-30T01:31:54.861417+00:00
e69e4a97-f37d-4abd-9e7b-777d958f4833,Venue,Noise,0.4664,2026-08-30T12:49:25.623247+00:00
e69e4a97-f37d-4abd-9e7b-777d958f4833,Venue,Amenities,0.359,2026-08-30T12:50:46.990899+00:00
ecae5c32-a624-4614-b7b7-06fdea193ba6,Transport,Parking,0.5305,2026-08-30T08:29:24.398190+00:00
ecae5c32-a624-4614-b7b7-06fdea193ba6,Program,General,0.511,2026-08-30T08:30:41.878566+00:00
ecae5c32-a624-4614-b7b7-06fdea193ba6,Venue,ReEntry,0.6452,2026-08-30T08:32:50.486156+00:00
ecae5c32-a624-4614-b7b7-06fdea193ba6,Program,Schedule,0.7091,2026-08-30T08:34:10.027163+00:00
ed0148ca-75d0-4456-a201-f2331528ecb5,Access,Upgrade,0.5858,2026-08-30T14:50:13.175247+00:00
ed4c7633-1163-46f1-8bb0-0e372819a6b2,Payments,Diet,0.3574,2026-08-30T05:43:20.835072+00:00
ed4c7633-1163-46f1-8bb0-0e372819a6b2,Venue,Amenities,0.6101,2026-08-30T05:44:38.859135+00:00
f71d2e2b-7b2f-4834-b4ac-c79aaf5c16ed,Venue,LostFound,0.4367,2026-08-30T07:14:15.903519+00:00
fb0a6b9b-abb5-4899-908d-6f7d41b2bf86,Venue,LostFound,0.52,2026-08-30T00:01:54.223184+00:00
fb0a6b9b-abb5-4899-908d-6f7d41b2bf86,Venue,Lockers,0.5733,2026-08-30T00:02:44.347333+00:00
fb0a6b9b-abb5-4899-908d-6f7d41b2bf86,Program,Schedule,0.3995,2026-08-30T07:33:52.826436+00:00
fb418a67-4a0a-4be2-b590-4f523c1de981,Venue,Lockers,0.5084,2026-08-30T07:49:25.352976+00:00
fb57ebd4-d916-4045-965c-8248dd7ce09e,Program,Schedule,0.4508,2026-08-30T11:09:44.193768+00:00
fb57ebd4-d916-4045-965c-8248dd7ce09e,Venue,CheckIn,0.632,2026-08-30T11:10:20.698786+00:00
fb57ebd4-d916-4045-965c-8248dd7ce09e,Transport,Parking,0.6296,2026-08-30T11:40:17.026438+00:00
fb57ebd4-d916-4045-965c-8248dd7ce09e,Venue,Shops,0.3755,2026-08-30T13:14:57.290291+00:00
fb57ebd4-d916-4045-965c-8248dd7ce09e,Venue,Map,0.4898,2026-08-30T15:04:25.550828+00:00
