conversation_id,customer_message_count,starting_sentiment,starting_confidence,ending_sentiment,ending_confidence,explanation
4ceeb9ef-dafd-40d5-b801-2d1fdf2f342f,1,Neutral (task-oriented),0.8642,Neutral (task-oriented),0.8642,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
5270dd13-a20f-40d1-8698-12200f7401cd,4,Positive,0.6518,Negative (frustrated),0.4385,"The conversation starts positive and ends negative (frustrated), based on 4 usable customer messages."
5a11222d-3512-4cf3-ac04-34962cd1c6c7,5,Neutral (task-oriented),0.9066,Negative (frustrated),0.8587,"The conversation starts neutral (task-oriented) and ends negative (frustrated), based on 5 usable customer messages."
5b59c348-5104-4426-b094-a1ec3a358e77,1,Neutral (task-oriented),0.7389,Neutral (task-oriented),0.7389,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
5e3d407d-3d9b-4e5f-8ecc-d4df932e06ca,1,Neutral (task-oriented),0.8961,Neutral (task-oriented),0.8961,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
612c5c31-c3f4-4b08-8345-141dfe79c4ce,7,Positive,0.6439,Negative (frustrated),0.6934,"The conversation starts positive and ends negative (frustrated), based on 7 usable customer messages."
724c3ab3-b430-4b15-a866-f1101b897d14,4,Neutral (task-oriented),0.8751,Neutral (task-oriented),0.9418,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages."
7451fd46-ff76-4fec-9ec2-076d524a37d7,6,Negative (frustrated),0.86,Negative (frustrated),0.8686,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 6 usable customer messages."
7466a6c5-9600-4e8d-b1da-a668f622c694,1,Positive,0.3897,Positive,0.3897,"The conversation starts positive and ends positive, based on 1 usable customer message."
746b7d39-5c44-40a6-824e-d95faf4328ea,1,Neutral (task-oriented),0.9343,Neutral (task-oriented),0.9343,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
74ab239a-92a2-46cf-98b5-898ad2c24b38,2,Neutral (task-oriented),0.8367,Positive,0.5819,"The conversation starts neutral (task-oriented) and ends positive, based on 2 usable customer messages."
77658bc7-a721-4106-8750-c293cfc9019a,1,Neutral (task-oriented),0.9388,Neutral (task-oriented),0.9388,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
7b9ef30d-c36a-4b2e-ab4e-fd5263ec8fb2,4,Neutral (task-oriented),0.8341,Negative (frustrated),0.7133,"The conversation starts neutral (task-oriented) and ends negative (frustrated), based on 4 usable customer messages."
8124951f-c944-4f22-a02c-d7b55b124694,2,Neutral (task-oriented),0.9375,Neutral (task-oriented),0.9164,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 2 usable customer messages."
86a85eaa-6fdb-44d8-93db-781000e103b0,2,Positive,0.5754,Negative (frustrated),0.8481,"The conversation starts positive and ends negative (frustrated), based on 2 usable customer messages."
8acea325-0a61-4973-bead-aaa09a2d3bdb,1,Neutral (task-oriented),0.8911,Neutral (task-oriented),0.8911,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
8aceb9ed-07e4-46b2-afbf-63bc22bcc8de,3,Negative (frustrated),0.564,Neutral (task-oriented),0.7697,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 3 usable customer messages."
8b42a238-3b6a-4db7-a5a7-f852ecd43246,1,Neutral (task-oriented),0.8359,Neutral (task-oriented),0.8359,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
8f2cfe26-684c-4824-94f6-37f82caa2f41,6,Positive,0.6023,Negative (frustrated),0.6862,"The conversation starts positive and ends negative (frustrated), based on 6 usable customer messages."
919d69a2-0d1c-4686-9117-63d23501b05e,1,Neutral (task-oriented),0.8029,Neutral (task-oriented),0.8029,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
91d38046-fbf1-4d01-b93c-966df0b33d7a,3,Neutral (task-oriented),0.9329,Neutral (task-oriented),0.9276,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 3 usable customer messages."
95b73211-8afb-4faa-b00d-ab2333f187d0,2,Neutral (task-oriented),0.7599,Neutral (task-oriented),0.9365,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 2 usable customer messages."
a6acf5ec-bb64-458c-a4a8-ee7c66376122,1,Negative (frustrated),0.7157,Negative (frustrated),0.7157,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
a92299ba-18b3-45fe-8284-0dbed04d2bc5,1,Neutral (task-oriented),0.8919,Neutral (task-oriented),0.8919,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
a974b82a-6bf4-4ff9-b150-909dcdac8863,8,Neutral (task-oriented),0.7495,Neutral (task-oriented),0.9033,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 8 usable customer messages."
add7ad79-6771-475a-a628-e06875fe7ddb,2,Neutral (task-oriented),0.8898,Positive,0.4892,"The conversation starts neutral (task-oriented) and ends positive, based on 2 usable customer messages."
b4c50e27-1ff5-48d4-8fb5-60b8415f6643,3,Neutral (task-oriented),0.3444,Positive,0.8635,"The conversation starts neutral (task-oriented) and ends positive, based on 3 usable customer messages."
b9e1f22c-8304-4faf-9fab-2531213a42d3,1,Neutral (task-oriented),0.8181,Neutral (task-oriented),0.8181,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
bad92a26-5459-4257-9f50-146922258226,1,Neutral (task-oriented),0.9317,Neutral (task-oriented),0.9317,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
bb72cd0b-5ce6-4344-b977-5c3484776543,1,Neutral (task-oriented),0.8896,Neutral (task-oriented),0.8896,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
c03bd6cd-fece-4a64-8485-f1e07ad8da6c,2,Negative (frustrated),0.3974,Neutral (task-oriented),0.9425,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 2 usable customer messages."
c21900ef-ec65-4aeb-a2f0-fea68d05cc03,1,Neutral (task-oriented),0.3268,Neutral (task-oriented),0.3268,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
c349ed13-2dbf-47f7-b276-2f78e5c181fb,1,Negative (frustrated),0.8094,Negative (frustrated),0.8094,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
cc1e82f2-5fbd-4807-9db0-ca1991a91892,7,Negative (frustrated),0.5791,Neutral (task-oriented),0.8822,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 7 usable customer messages."
d31327b8-7e61-4a66-b5fc-e0e14c4459b2,1,Neutral (task-oriented),0.9,Neutral (task-oriented),0.9,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
d4a03a5c-6bb4-4463-bd44-a0b98e3f5917,2,Neutral (task-oriented),0.921,Neutral (task-oriented),0.7898,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 2 usable customer messages."
d737a68f-037f-43e6-a08b-e70cc73e439f,4,Neutral (task-oriented),0.9153,Negative (frustrated),0.8869,"The conversation starts neutral (task-oriented) and ends negative (frustrated), based on 4 usable customer messages."
da03690a-e0c2-4b7f-9818-f5a77e67ef75,4,Neutral (task-oriented),0.7415,Neutral (task-oriented),0.8357,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages."
dae835f6-49f4-4624-9985-4238505f6d1f,2,Positive,0.4902,Neutral (task-oriented),0.8613,"The conversation starts positive and ends neutral (task-oriented), based on 2 usable customer messages."
e69e4a97-f37d-4abd-9e7b-777d958f4833,2,Neutral (task-oriented),0.9405,Neutral (task-oriented),0.9416,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 2 usable customer messages."
ecae5c32-a624-4614-b7b7-06fdea193ba6,4,Neutral (task-oriented),0.8963,Neutral (task-oriented),0.9369,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages."
ed0148ca-75d0-4456-a201-f2331528ecb5,1,Negative (frustrated),0.3653,Negative (frustrated),0.3653,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
ed4c7633-1163-46f1-8bb0-0e372819a6b2,2,Neutral (task-oriented),0.7625,Positive,0.8684,"The conversation starts neutral (task-oriented) and ends positive, based on 2 usable customer messages."
f19753cb-cc7e-40a7-a766-fd8f5ad0ff5c,2,Neutral (task-oriented),0.6995,Neutral (task-oriented),0.6696,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 2 usable customer messages."
f71d2e2b-7b2f-4834-b4ac-c79aaf5c16ed,1,Positive,0.4616,Positive,0.4616,"The conversation starts positive and ends positive, based on 1 usable customer message."
fb0a6b9b-abb5-4899-908d-6f7d41b2bf86,4,Neutral (task-oriented),0.8933,Neutral (task-oriented),0.5326,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages."
fb418a67-4a0a-4be2-b590-4f523c1de981,2,Neutral (task-oriented),0.8839,Neutral (task-oriented),0.7094,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 2 usable customer messages."
fb57ebd4-d916-4045-965c-8248dd7ce09e,6,Neutral (task-oriented),0.9265,Neutral (task-oriented),0.9258,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 6 usable customer messages."
